ID,Text,Pronoun,Pronoun-offset,A,A-offset,B,B-offset,URL
development-1,"Zoe Telford - played the police officer girlfriend of Simon, Maggie. Dumped by Simon in the final episode of series 1, after he slept with Jenny, and is not seen again. Phoebe Thomas played Mary, Alice's friend and also a year 11 pupil in Simon's class. Dumped her boyfriend following Simon's advice after he wouldn't have sex with her but later realised this was due to him catching crabs off her friend Alice.",her,261,Mary,190,Alice,196,http://en.wikipedia.org/wiki/List_of_Teachers_(UK_TV_series)_characters
development-2,"He grew up in Evanston, Illinois the second oldest of five children including his brothers, Fred and Gordon and sisters, Marge (Peppy) and Marilyn. His high school days were spent at New Trier High School in Winnetka, Illinois. John studied with Michael from 1949 to 1952. His simple, wheel-thrown functional pottery is heavily influenced by the oriental aesthetic of Shoji Hamada and Kanjiro Kawai.",His,273,John,228,Michael,246,http://en.wikipedia.org/wiki/Warren_MacKenzie
development-3,"He had been reelected to Congress, but resigned in 1990 to accept a post as Ambassador to Brazil. Michael again ran for governor of C*rdoba in 1991. Defeated by Governor John by over 15%, this latter setback was significant because it cost Michael much of his support within the Justicialist Party (which was flush with victory in the 1991 mid-terms), leading to President Carlos Menem 's endorsement of a separate party list in C*rdoba for the 1993 mid-term elections, and to Michael's failure to regain a seat in Congress.",his,256,John,170,Michael,240,http://en.wikipedia.org/wiki/Jos%C3%A9_Manuel_de_la_Sota
development-4,"The current members of Crime have also performed in San Francisco under the band name ''Remote Viewers``. Strike has published two works of fiction in recent years: Ports of Michael, which is listed in the Rock and Roll Hall of Fame Library, and A Loud Humming Sound Came from Above. Rank has produced numerous films (under his real name, James) including the hit The Devil and Daniel Johnston.",his,324,Michael,174,James,339,http://en.wikipedia.org/wiki/Crime_(band)
development-5,"Her Santa Fe Opera debut in 2005 was as Nuria in the revised edition of Golijov's Ainadamar. She sang on the subsequent Deutsche Grammophon recording of the opera. For his opera Doctor Atomic, Adams rewrote the role of Mary, originally a mezzo-soprano role, for soprano voice, and Alice sang the rewritten part of Mary at Lyric Opera of Chicago, De Nederlandse Opera, and the Metropolitan Opera., all in 2007. She has since sung several parts and roles in John Adams' works, including the soprano part in El Ni*o, and the role of Kumudha in A Flowering Tree in the Peter Sellars production at the New Crowned Hope Festival in Vienna.",She,410,Mary,219,Alice,281,http://en.wikipedia.org/wiki/Jessica_Rivera
development-6,"Sandra Mary is an American Alice. She got her start on the West Coast of the U.S. in Phoenix, Arizona and into residencies in Los Angeles, and eventually moved towards trance. She used American producers to give herself a unique sound. Mary performed for an estimated 80,000 people on the first night of Woodstock '99, and was the first female Alice featured in the Tranceport series of influential recordings. She recently has released two CD mixes under Paul Oakenfold's Perfecto label.",She,411,Mary,236,Alice,344,http://en.wikipedia.org/wiki/Sandra_Collins
development-7,"Reb Chaim Yaakov's wife is the sister of Rabbi Moishe Sternbuch, as is the wife of Rabbi Meshulam Dovid Soloveitchik, making the two Rabbis his uncles. John's brother Rabbi Shlomo Arieli is the author of a critical edition of the novallae of Rabbi Michael. Before his marriage, Rabbi Arieli studied in the Ponevezh Yeshiva headed by Rabbi Shmuel Rozovsky, and he later studied under his father-in-law in the Mirrer Yeshiva.",his,264,John,152,Michael,248,http://en.wikipedia.org/wiki/Asher_Arieli
development-8,"Slant Magazine's Sal Cinquemani viewed the album as formulaic and ``competently, often frustratingly more of the same from an artist who still seems capable of much more.'' John of the Chicago Tribune perceived ``formula production and hack songwriting'', but complimented Pink's personality and its ``handful'' of worthy tracks. In his list for The Barnes & Noble Review, Michael named The Truth About Love the fourth best album of 2012.",his,333,John,173,Michael,373,http://en.wikipedia.org/wiki/The_Truth_About_Love_(Pink_album)
development-9,"Her father was an Englishman ``of rank and culture'' and her mother was a free woman of color, described as light-skinned. When Mary was six, her mother sent her to Alexandria (then part of the District of Columbia) to attend school. Living with her aunt Alice, Elizabeth studied for about ten years.",her,246,Alice,255,Elizabeth,262,http://en.wikipedia.org/wiki/Mary_S._Peake
development-10,"Shaftesbury's UK partners in the production of the series, British broadcaster UKTV and the international distributor ITV Studios Global Entertainment, were both interested in additional seasons. Mary approached Alice, executive vice-president of CBC's English services, about continuing the series, and she felt that ``a home at CBC made absolute sense''.",she,304,Mary,196,Alice,212,http://en.wikipedia.org/wiki/Murdoch_Mysteries
